"","nombre_curso","genero","periodo","curso","anio_asignacion","anio_ingreso","zona","nota_total","nombre_area","anio_nacimiento"
"1","ECONOMIA",1,5,14,2012,2012,60,74,"METODOLOGIA DE SISTEMAS",1991
"2","ECONOMIA",1,5,14,2012,2012,34,34,"METODOLOGIA DE SISTEMAS",1987
"3","ECONOMIA",1,5,14,2012,2012,51,68,"METODOLOGIA DE SISTEMAS",1988
"4","ECONOMIA",1,5,14,2012,2012,54,65,"METODOLOGIA DE SISTEMAS",1992
"5","ECONOMIA",1,5,14,2012,2012,45,57,"METODOLOGIA DE SISTEMAS",1990
"6","ECONOMIA",1,5,14,2012,2012,56,73,"METODOLOGIA DE SISTEMAS",1989
"7","ECONOMIA",1,5,14,2012,2012,0,0,"METODOLOGIA DE SISTEMAS",1989
"8","ECONOMIA",1,5,14,2012,2012,36,49,"METODOLOGIA DE SISTEMAS",1990
"9","ECONOMIA",1,5,14,2012,2012,0,0,"METODOLOGIA DE SISTEMAS",1986
"10","ECONOMIA",1,5,14,2012,2012,48,61,"METODOLOGIA DE SISTEMAS",1991
"11","ECONOMIA",1,5,14,2012,2012,0,0,"METODOLOGIA DE SISTEMAS",1983
"12","ECONOMIA",1,5,14,2012,2012,54,73,"METODOLOGIA DE SISTEMAS",1989
"13","ECONOMIA",1,5,14,2012,2012,55,71,"METODOLOGIA DE SISTEMAS",1981
"14","ECONOMIA",1,5,14,2012,2012,62,78,"METODOLOGIA DE SISTEMAS",1992
"15","ECONOMIA",1,5,14,2012,2012,0,0,"METODOLOGIA DE SISTEMAS",1990
"16","ECONOMIA",1,5,14,2012,2012,42,52,"METODOLOGIA DE SISTEMAS",1993
"17","ECONOMIA",1,5,14,2012,2012,38,50,"METODOLOGIA DE SISTEMAS",1990
"18","ECONOMIA",1,5,14,2012,2012,36,36,"METODOLOGIA DE SISTEMAS",1989
"19","ECONOMIA",1,5,14,2012,2012,42,61,"METODOLOGIA DE SISTEMAS",1991
"20","ECONOMIA",1,5,14,2012,2012,45,45,"METODOLOGIA DE SISTEMAS",1991
"21","ECONOMIA",1,5,14,2012,2012,54,65,"METODOLOGIA DE SISTEMAS",1989
"22","ECONOMIA",1,5,14,2012,2012,50,50,"METODOLOGIA DE SISTEMAS",1992
"23","ECONOMIA",1,5,14,2012,2012,42,54,"METODOLOGIA DE SISTEMAS",1989
"24","ECONOMIA",1,5,14,2012,2012,59,66,"METODOLOGIA DE SISTEMAS",1989
"25","ECONOMIA",1,5,14,2012,2012,0,0,"METODOLOGIA DE SISTEMAS",1988
"26","ECONOMIA",1,5,14,2012,2012,44,44,"METODOLOGIA DE SISTEMAS",1990
"27","ECONOMIA",1,5,14,2012,2012,0,0,"METODOLOGIA DE SISTEMAS",1991
"28","ECONOMIA",1,5,14,2012,2012,40,56,"METODOLOGIA DE SISTEMAS",1989
"29","ECONOMIA",1,5,14,2012,2012,59,74,"METODOLOGIA DE SISTEMAS",1989
"30","ECONOMIA",1,5,14,2012,2012,26,26,"METODOLOGIA DE SISTEMAS",1987
"31","ECONOMIA",1,5,14,2012,2012,61,86,"METODOLOGIA DE SISTEMAS",1992
"32","ECONOMIA",1,5,14,2012,2012,42,50,"METODOLOGIA DE SISTEMAS",1991
"33","ECONOMIA",2,5,14,2012,2012,42,55,"METODOLOGIA DE SISTEMAS",1989
"34","ECONOMIA",1,5,14,2012,2012,53,72,"METODOLOGIA DE SISTEMAS",1991
"35","ECONOMIA",1,5,14,2012,2012,20,20,"METODOLOGIA DE SISTEMAS",1990
"36","ECONOMIA",1,5,14,2012,2012,59,75,"METODOLOGIA DE SISTEMAS",1990
