nombre_curso,genero_1masc_2feme,periodo,curso,año,año_ingreso_a_la_carrera,zona,nota_total,nombre_area,año_nacimiento
ECONOMIA,1,5,14,2012,2010,51,51,METODOLOGIA DE SISTEMAS,1991
ECONOMIA,1,5,14,2012,2008,45,56,METODOLOGIA DE SISTEMAS,1989
ECONOMIA,1,5,14,2012,2010,49,49,METODOLOGIA DE SISTEMAS,1992
ECONOMIA,1,5,14,2012,2006,56,72,METODOLOGIA DE SISTEMAS,1988
ECONOMIA,1,5,14,2012,2004,0,0,METODOLOGIA DE SISTEMAS,1985
ECONOMIA,1,5,14,2012,2011,66,88,METODOLOGIA DE SISTEMAS,1993
ECONOMIA,1,5,14,2012,2009,31,31,METODOLOGIA DE SISTEMAS,1986
ECONOMIA,1,5,14,2012,2009,54,69,METODOLOGIA DE SISTEMAS,1991
ECONOMIA,1,5,14,2012,2009,42,57,METODOLOGIA DE SISTEMAS,1989
ECONOMIA,1,5,14,2012,2009,0,0,METODOLOGIA DE SISTEMAS,1988
ECONOMIA,2,5,14,2012,2010,55,55,METODOLOGIA DE SISTEMAS,1990
ECONOMIA,1,5,14,2012,2006,49,61,METODOLOGIA DE SISTEMAS,1986
ECONOMIA,1,1,14,2012,2007,50,62,METODOLOGIA DE SISTEMAS,1989
ECONOMIA,1,1,14,2012,2007,52,71,METODOLOGIA DE SISTEMAS,1988
ECONOMIA,1,1,14,2012,2010,51,70,METODOLOGIA DE SISTEMAS,1992
ECONOMIA,1,1,14,2012,2009,51,61,METODOLOGIA DE SISTEMAS,1990
ECONOMIA,1,5,14,2012,2008,41,55,METODOLOGIA DE SISTEMAS,1989
ECONOMIA,1,1,14,2012,2009,55,55,METODOLOGIA DE SISTEMAS,1990
ECONOMIA,2,1,14,2012,2009,52,69,METODOLOGIA DE SISTEMAS,1990
ECONOMIA,2,5,14,2012,2011,50,72,METODOLOGIA DE SISTEMAS,1992
ECONOMIA,1,1,14,2012,2008,49,61,METODOLOGIA DE SISTEMAS,1989
ECONOMIA,1,1,14,2012,2004,46,56,METODOLOGIA DE SISTEMAS,1986
ECONOMIA,2,1,14,2012,2009,48,67,METODOLOGIA DE SISTEMAS,1991
ECONOMIA,1,1,14,2012,2010,56,73,METODOLOGIA DE SISTEMAS,1993
ECONOMIA,1,1,14,2012,2007,0,0,METODOLOGIA DE SISTEMAS,1987
ECONOMIA,1,1,14,2012,2006,35,35,METODOLOGIA DE SISTEMAS,1988
ECONOMIA,2,5,14,2012,2000,57,76,METODOLOGIA DE SISTEMAS,1981
ECONOMIA,1,1,14,2012,2009,53,66,METODOLOGIA DE SISTEMAS,1991
ECONOMIA,1,1,14,2012,2008,37,45,METODOLOGIA DE SISTEMAS,1990
ECONOMIA,1,1,14,2012,2009,62,81,METODOLOGIA DE SISTEMAS,1990
ECONOMIA,2,1,14,2012,2010,0,0,METODOLOGIA DE SISTEMAS,1991
ECONOMIA,1,1,14,2012,2010,51,68,METODOLOGIA DE SISTEMAS,1992
ECONOMIA,1,1,14,2012,2009,50,65,METODOLOGIA DE SISTEMAS,1987
ECONOMIA,1,1,14,2012,2010,42,62,METODOLOGIA DE SISTEMAS,1989
ECONOMIA,1,1,14,2012,2009,60,74,METODOLOGIA DE SISTEMAS,1989
ECONOMIA,1,1,14,2012,2008,26,26,METODOLOGIA DE SISTEMAS,1989
ECONOMIA,1,1,14,2012,2006,43,61,METODOLOGIA DE SISTEMAS,1987
ECONOMIA,1,1,14,2012,2007,52,70,METODOLOGIA DE SISTEMAS,1987
ECONOMIA,1,1,14,2012,2009,53,65,METODOLOGIA DE SISTEMAS,1987
ECONOMIA,1,1,14,2012,1908,52,65,METODOLOGIA DE SISTEMAS,1986
ECONOMIA,1,1,14,2012,2007,50,67,METODOLOGIA DE SISTEMAS,1987
ECONOMIA,1,1,14,2012,2010,55,75,METODOLOGIA DE SISTEMAS,1990
ECONOMIA,1,1,14,2012,2007,38,52,METODOLOGIA DE SISTEMAS,1989
ECONOMIA,2,1,14,2012,2008,59,72,METODOLOGIA DE SISTEMAS,1986
ECONOMIA,1,5,14,2012,2011,56,80,METODOLOGIA DE SISTEMAS,1993
ECONOMIA,1,1,14,2012,2009,58,65,METODOLOGIA DE SISTEMAS,1990
ECONOMIA,1,1,14,2012,2010,52,68,METODOLOGIA DE SISTEMAS,1991
ECONOMIA,1,1,14,2012,2007,36,44,METODOLOGIA DE SISTEMAS,1988
ECONOMIA,1,1,14,2012,2010,38,38,METODOLOGIA DE SISTEMAS,1992
ECONOMIA,1,1,14,2012,2007,26,26,METODOLOGIA DE SISTEMAS,1987
ECONOMIA,1,1,14,2012,2010,54,74,METODOLOGIA DE SISTEMAS,1992
ECONOMIA,1,1,14,2012,2010,59,82,METODOLOGIA DE SISTEMAS,1992
ECONOMIA,1,1,14,2012,2000,57,80,METODOLOGIA DE SISTEMAS,1982
ECONOMIA,2,5,14,2012,2008,39,39,METODOLOGIA DE SISTEMAS,1989
ECONOMIA,2,1,14,2012,2006,48,61,METODOLOGIA DE SISTEMAS,1987
ECONOMIA,1,1,14,2012,2009,58,68,METODOLOGIA DE SISTEMAS,1992
ECONOMIA,1,1,14,2012,2008,44,64,METODOLOGIA DE SISTEMAS,1988
ECONOMIA,1,1,14,2012,2004,54,68,METODOLOGIA DE SISTEMAS,1984
ECONOMIA,1,1,14,2012,2008,41,61,METODOLOGIA DE SISTEMAS,1989
ECONOMIA,1,1,14,2012,2009,0,0,METODOLOGIA DE SISTEMAS,1991
ECONOMIA,1,1,14,2012,2010,60,81,METODOLOGIA DE SISTEMAS,1990
ECONOMIA,1,1,14,2012,2005,45,61,METODOLOGIA DE SISTEMAS,1987
ECONOMIA,1,1,14,2012,2008,48,61,METODOLOGIA DE SISTEMAS,1989
